FK_NAME	schema_name	table	column	referenced_schema	referenced_table	referenced_column
FK_WorkOrder_ScrapReason_ScrapReasonID	Production	WorkOrder	ScrapReasonID	Production	ScrapReason	ScrapReasonID
FK_EmployeeDepartmentHistory_Shift_ShiftID	HumanResources	EmployeeDepartmentHistory	ShiftID	HumanResources	Shift	ShiftID
FK_ProductSubcategory_ProductCategory_ProductCategoryID	Production	ProductSubcategory	ProductCategoryID	Production	ProductCategory	ProductCategoryID
FK_PurchaseOrderHeader_ShipMethod_ShipMethodID	Purchasing	PurchaseOrderHeader	ShipMethodID	Purchasing	ShipMethod	ShipMethodID
FK_SalesOrderHeader_ShipMethod_ShipMethodID	Sales	SalesOrderHeader	ShipMethodID	Purchasing	ShipMethod	ShipMethodID
FK_ProductModelProductDescriptionCulture_ProductDescription_ProductDescriptionID	Production	ProductModelProductDescriptionCulture	ProductDescriptionID	Production	ProductDescription	ProductDescriptionID
FK_SpecialOfferProduct_SpecialOffer_SpecialOfferID	Sales	SpecialOfferProduct	SpecialOfferID	Sales	SpecialOffer	SpecialOfferID
FK_BusinessEntityAddress_Address_AddressID	Person	BusinessEntityAddress	AddressID	Person	Address	AddressID
FK_SalesOrderHeader_Address_BillToAddressID	Sales	SalesOrderHeader	BillToAddressID	Person	Address	AddressID
FK_SalesOrderHeader_Address_ShipToAddressID	Sales	SalesOrderHeader	ShipToAddressID	Person	Address	AddressID
FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID	Sales	SalesOrderDetail	SpecialOfferID	Sales	SpecialOfferProduct	SpecialOfferID
FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID	Sales	SalesOrderDetail	ProductID	Sales	SpecialOfferProduct	ProductID
FK_Product_ProductModel_ProductModelID	Production	Product	ProductModelID	Production	ProductModel	ProductModelID
FK_ProductModelIllustration_ProductModel_ProductModelID	Production	ProductModelIllustration	ProductModelID	Production	ProductModel	ProductModelID
FK_ProductModelProductDescriptionCulture_ProductModel_ProductModelID	Production	ProductModelProductDescriptionCulture	ProductModelID	Production	ProductModel	ProductModelID
FK_BusinessEntityAddress_AddressType_AddressTypeID	Person	BusinessEntityAddress	AddressTypeID	Person	AddressType	AddressTypeID
